,Gabaergic,Gabaergic,Gabaergic (Lhx5),Gabaergic,Astrocytes (Sparc and Sox9),"Granule neurons (Neurod1, Selm)",Gabaergic,Gabaergic,"NPC(Id3, Id1","Granule neurons (Neurod1, Selm)",10,"Granule neurons (Selm, pax6, atph1, neurod)","Granule Neurons (Selm, Pax6)","Glutamergic (Atoh1, Barhl1)",14,Gabaergic,"Astrocyte (Sparcl1 and S;c1a3, Id3, Ndrg2)",Erythrocytes (BAMBI)
90,Sepw1,Sepw1,Atp6v0e,Cyth2,Ccnd3,Cenpm,Stx7,Scg5,Ptn,Snhg11,Eef1g,Hnrnpdl,Rcor2,Hnrnpm,Isg20,Mtch1,Cnpy2,Lmo2
91,Sybu,Atat1,Tsc22d1,Thsd7a,Glo1,H1fx,Meg3,Calm3,Rcn1,Cbarp,Laptm4a,Ccnb2,Nipsnap3b,Mfng,Tspan33,Scg5,Pabpc1,Vwa1
92,Calm3,Fstl5,Ina,Slc25a4,Rps3,Knstrn,Cpe,Cdk5r1,Eno1,Actb,Rcn2,Cbx1,Eif5a,Gm10260,Riok3,Ttc28,Sfrp2,Epas1
93,Plpp4,Syt5,Nxph4,Auts2,Eef1a1,Gpm6b,Sepw1,Tenm2,Gdf10,Dpysl3,Ier2,Mfap4,Spint2,Nek6,Mt1,Fgf3,Pla2g7,Dlk1
94,Serf1,Epha7,Spsb4,Hdac2,Dars,Psip1,Marcksl1,Atp6v0b,Wls,Rmst,Ddit4,Rpl32,Ppp2r2c,Hspd1,Gmpr,Map1lc3b,Sri,Slc2a1
95,Dnm3,Nenf,Slc32a1,Hmgb3,Hsd17b10,Slc25a5,Ift57,Mgst3,Mgst1,Map1lc3a,Sox4,Hmgb3,Nt5dc2,Rnd2,Tspan32,Cyth2,Dars,Cd34
96,2900011O08Rik,Hpca,Prr13,Nrxn3,Eef1d,Lxn,Ncam1,Trappc2l,Tcf3,Lingo1,Cd1d1,Nt5dc2,Zic1,Aprt,Stk10,Fam57b,Zeb2,Ost4
97,Irf2bpl,Auts2,Skor1,Selk,Hnrnpf,Rcn1,Rbms1,Nefm,Rpl22,Fgf13,Elavl1,Psip1,Sp5,Gm16701,Ano2,Mien1,Set,Rpl37
98,Csrp2,Syt16,Olig3,Gng3,Rpl22l1,Tcf3,Cox7a2,Pnoc,Hat1,Rgmb,Prdx1,Tipin,Tprn,Ccnd2,Cdr2,Arl8a,Hmgn1,Vamp8
99,Map1b,Rbfox2,Stmn3,Dynll2,Hspe1,Snrpb,Cntnap5a,Sbk1,2810417H13Rik,Nbea,Elavl3,Rrm1,Tmem41a,Rpsa,Igtp,Chchd2,Rpl13a,Ccnd3
